medicalId,seconds,confirmed,exactInputMatch,modelRequests
SYNTH-0001,8.867,true,true,5
SYNTH-0002,8.99,true,true,6
SYNTH-0003,8.15,true,true,6
SYNTH-0004,8.386,true,true,6
SYNTH-0005,7.902,true,true,5
SYNTH-0006,10.507,true,true,6
SYNTH-0007,9.215,true,true,6
SYNTH-0008,8.415,true,true,6
SYNTH-0009,10.462,true,true,5
SYNTH-0010,10.432,true,true,6
SYNTH-0011,8.052,true,true,6
SYNTH-0012,9.465,true,true,6
SYNTH-0013,7.014,true,true,5
SYNTH-0014,12.107,true,true,6
SYNTH-0015,12.698,true,true,6
SYNTH-0016,8.851,true,true,6
SYNTH-0017,8.083,true,true,5
SYNTH-0018,8.716,true,true,6
SYNTH-0019,7.448,true,true,6
SYNTH-0020,8.538,true,true,6
SYNTH-0021,8.235,true,true,5
SYNTH-0022,7.963,true,true,6
SYNTH-0023,8.458,true,true,6
SYNTH-0024,9.768,true,true,6
SYNTH-0025,7.409,true,true,5
SYNTH-0026,8.863,true,true,6
SYNTH-0027,11.028,true,true,6
SYNTH-0028,8.324,true,true,6
SYNTH-0029,8.36,true,true,5
SYNTH-0030,9.453,true,true,6
SYNTH-0031,8.513,true,true,6
SYNTH-0032,7.244,true,true,6
SYNTH-0033,7.932,true,true,5
SYNTH-0034,8.443,true,true,6
SYNTH-0035,9.559,true,true,6
SYNTH-0036,7.903,true,true,6
SYNTH-0037,7.156,true,true,5
SYNTH-0038,8.974,true,true,6
SYNTH-0039,8.29,true,true,6
SYNTH-0040,8.438,true,true,6
SYNTH-0041,7.331,true,true,5
SYNTH-0042,7.625,true,true,6
SYNTH-0043,8.938,true,true,6
SYNTH-0044,9.267,true,true,6
SYNTH-0045,8.044,true,true,5
SYNTH-0046,9.294,true,true,6
SYNTH-0047,9.795,true,true,6
SYNTH-0048,7.612,true,true,6
SYNTH-0049,11.032,true,true,5
SYNTH-0050,7.037,true,true,6
SYNTH-0051,8.914,true,true,6
SYNTH-0052,8.326,true,true,6
SYNTH-0053,7.715,true,true,5
SYNTH-0054,7.973,true,true,6
SYNTH-0055,7.731,true,true,6
SYNTH-0056,8.22,true,true,6
SYNTH-0057,6.949,true,true,5
SYNTH-0058,7.028,true,true,6
SYNTH-0059,8.325,true,true,6
SYNTH-0060,9.763,true,true,6
SYNTH-0061,7.758,true,true,5
SYNTH-0062,8.421,true,true,6
SYNTH-0063,7.956,true,true,6
SYNTH-0064,8.429,true,true,6
SYNTH-0065,9.368,true,true,5
SYNTH-0066,8.758,true,true,6
SYNTH-0067,9.249,true,true,6
SYNTH-0068,9.655,true,true,6
SYNTH-0069,9.017,true,true,5
SYNTH-0070,9.364,true,true,6
SYNTH-0071,9.212,true,true,6
SYNTH-0072,8.988,true,true,6
SYNTH-0073,7.769,true,true,5
SYNTH-0074,9.396,true,true,6
SYNTH-0075,10.597,true,true,6
SYNTH-0076,8.912,true,true,6
SYNTH-0077,8.143,true,true,5
SYNTH-0078,12.343,true,true,6
SYNTH-0079,8.511,true,true,6
SYNTH-0080,8.769,true,true,6
SYNTH-0081,9.875,true,true,5
SYNTH-0082,7.228,true,true,6
SYNTH-0083,9.198,true,true,6
SYNTH-0084,9.228,true,true,6
SYNTH-0085,9.096,true,true,5
SYNTH-0086,9.545,true,true,6
SYNTH-0087,8.84,true,true,6
SYNTH-0088,8.007,true,true,6
SYNTH-0089,7.344,true,true,5
SYNTH-0090,10.004,true,true,6
SYNTH-0091,9.394,true,true,6
SYNTH-0092,9.438,true,true,6
SYNTH-0093,8.294,true,true,5
SYNTH-0094,8.213,true,true,6
SYNTH-0095,11.044,true,true,6
SYNTH-0096,9.902,true,true,6
SYNTH-0097,7.909,true,true,5
SYNTH-0098,9.097,true,true,6
SYNTH-0099,9.345,true,true,6
SYNTH-0100,10.53,true,true,6
