"medicalId","seconds","confirmed","exactInputMatch","calls"
"SYNTH-0001","7.325","True","True","5"
"SYNTH-0002","8.342","True","True","6"
"SYNTH-0003","8.259","True","True","6"
"SYNTH-0004","10.174","True","True","6"
"SYNTH-0005","7.207","True","True","5"
"SYNTH-0006","8.01","True","True","6"
"SYNTH-0007","8.28","True","True","6"
"SYNTH-0008","7.987","True","True","6"
"SYNTH-0009","8.057","True","True","5"
"SYNTH-0010","8.186","True","True","6"
"SYNTH-0011","8.779","True","True","6"
"SYNTH-0012","7.998","True","True","6"
"SYNTH-0013","8.157","True","True","5"
"SYNTH-0014","7.374","True","True","6"
"SYNTH-0015","8.28","True","True","6"
"SYNTH-0016","9.145","True","True","6"
"SYNTH-0017","7.582","True","True","5"
"SYNTH-0018","7.069","True","True","6"
"SYNTH-0019","11.122","True","True","6"
"SYNTH-0020","7.3","True","True","6"
"SYNTH-0021","7.046","True","True","5"
"SYNTH-0022","7.462","True","True","6"
"SYNTH-0023","7.795","True","True","6"
"SYNTH-0024","7.761","True","True","6"
"SYNTH-0025","8.006","True","True","5"
"SYNTH-0026","8.322","True","True","6"
"SYNTH-0027","8.096","True","True","6"
"SYNTH-0028","9.273","True","True","6"
"SYNTH-0029","7.115","True","True","5"
"SYNTH-0030","7.066","True","True","6"
"SYNTH-0031","8.426","True","True","6"
"SYNTH-0032","6.987","True","True","6"
"SYNTH-0033","8.222","True","True","5"
"SYNTH-0034","13.75","True","True","6"
"SYNTH-0035","9.178","True","True","6"
"SYNTH-0036","9.165","True","True","6"
"SYNTH-0037","7.407","True","True","5"
"SYNTH-0038","8.353","True","True","6"
"SYNTH-0039","8.692","True","True","6"
"SYNTH-0040","8.508","True","True","6"
"SYNTH-0041","6.884","True","True","5"
"SYNTH-0042","10.066","True","True","6"
"SYNTH-0043","14.471","True","True","6"
"SYNTH-0044","9.564","True","True","6"
"SYNTH-0045","7.655","True","True","5"
"SYNTH-0046","9.249","True","True","6"
"SYNTH-0047","7.714","True","True","6"
"SYNTH-0048","8.248","True","True","6"
"SYNTH-0049","7.431","True","True","5"
"SYNTH-0050","7.382","True","True","6"
"SYNTH-0051","7.851","True","True","6"
"SYNTH-0052","7.207","True","True","6"
"SYNTH-0053","7.125","True","True","5"
"SYNTH-0054","9.483","True","True","6"
"SYNTH-0055","8.272","True","True","6"
"SYNTH-0056","8.149","True","True","6"
"SYNTH-0057","7.021","True","True","5"
"SYNTH-0058","8.899","True","True","6"
"SYNTH-0059","7.275","True","True","6"
"SYNTH-0060","8.539","True","True","6"
"SYNTH-0061","7.037","True","True","5"
"SYNTH-0062","7.774","True","True","6"
"SYNTH-0063","9.574","True","True","6"
"SYNTH-0064","7.375","True","True","6"
"SYNTH-0065","7.82","True","True","5"
"SYNTH-0066","8.116","True","True","6"
"SYNTH-0067","8.821","True","True","6"
"SYNTH-0068","7.932","True","True","6"
"SYNTH-0069","6.777","True","True","5"
"SYNTH-0070","7.722","True","True","6"
"SYNTH-0071","7.642","True","True","6"
"SYNTH-0072","7.284","True","True","6"
"SYNTH-0073","7.551","True","True","5"
"SYNTH-0074","8.271","True","True","6"
"SYNTH-0075","8.599","True","True","6"
"SYNTH-0076","7.802","True","True","6"
"SYNTH-0077","7.245","True","True","5"
"SYNTH-0078","8.432","True","True","6"
"SYNTH-0079","9.379","True","True","6"
"SYNTH-0080","8.687","True","True","6"
"SYNTH-0081","7.758","True","True","5"
"SYNTH-0082","8.947","True","True","6"
"SYNTH-0083","9.896","True","True","6"
"SYNTH-0084","9.138","True","True","6"
"SYNTH-0085","7.385","True","True","5"
"SYNTH-0086","9.619","True","True","6"
"SYNTH-0087","8.73","True","True","6"
"SYNTH-0088","10.554","True","True","6"
"SYNTH-0089","7.007","True","True","5"
"SYNTH-0090","10.301","True","True","6"
"SYNTH-0091","7.639","True","True","6"
"SYNTH-0092","10.31","True","True","6"
"SYNTH-0093","7.363","True","True","5"
"SYNTH-0094","9.634","True","True","6"
"SYNTH-0095","8.039","True","True","6"
"SYNTH-0096","9.701","True","True","6"
"SYNTH-0097","7.249","True","True","5"
"SYNTH-0098","9.794","True","True","6"
"SYNTH-0099","8.537","True","True","6"
"SYNTH-0100","8.85","True","True","6"
